DATE,IHLIDXNEWUS
2021-01-01,95.68
2021-01-02,97.82
2021-01-03,99.08
2021-01-04,99.26
2021-01-05,100.52
2021-01-06,102.73
2021-01-07,106.34
2021-01-08,109.7
2021-01-09,113.86
2021-01-10,118.78
2021-01-11,123.9
2021-01-12,127.01
2021-01-13,128.54
2021-01-14,128.8
2021-01-15,127.31
2021-01-16,125.14
2021-01-17,122.72
2021-01-18,120.5
2021-01-19,119.05
2021-01-20,118.0
2021-01-21,116.98
2021-01-22,115.7
2021-01-23,114.31
2021-01-24,113.38
2021-01-25,112.61
2021-01-26,113.2
2021-01-27,114.21
2021-01-28,115.75
2021-01-29,117.87
2021-01-30,119.92
2021-01-31,121.79
2021-02-01,123.82
2021-02-02,125.19
2021-02-03,126.23
2021-02-04,127.1
2021-02-05,128.11
2021-02-06,129.15
2021-02-07,131.21
2021-02-08,132.68
2021-02-09,133.46
2021-02-10,134.1
2021-02-11,134.36
2021-02-12,134.53
2021-02-13,134.92
2021-02-14,134.16
2021-02-15,133.51
2021-02-16,132.54
2021-02-17,131.38
2021-02-18,130.15
2021-02-19,128.66
2021-02-20,126.81
2021-02-21,124.98
2021-02-22,122.91
2021-02-23,122.41
2021-02-24,122.62
2021-02-25,123.3
2021-02-26,124.3
2021-02-27,125.42
2021-02-28,126.42
2021-03-01,127.78
2021-03-02,129.16
2021-03-03,130.34
2021-03-04,131.02
2021-03-05,131.76
2021-03-06,132.09
2021-03-07,133.55
2021-03-08,134.88
2021-03-09,134.61
2021-03-10,133.71
2021-03-11,133.29
2021-03-12,133.15
2021-03-13,133.88
2021-03-14,133.82
2021-03-15,133.64
2021-03-16,134.13
2021-03-17,135.42
2021-03-18,136.54
2021-03-19,137.36
2021-03-20,137.99
2021-03-21,138.7
2021-03-22,139.16
2021-03-23,141.16
2021-03-24,143.12
2021-03-25,144.19
2021-03-26,145.33
2021-03-27,146.4
2021-03-28,147.12
2021-03-29,148.33
2021-03-30,147.59
2021-03-31,146.37
2021-04-01,145.98
2021-04-02,146.02
2021-04-03,145.45
2021-04-04,144.75
2021-04-05,143.9
2021-04-06,143.18
2021-04-07,143.66
2021-04-08,144.07
2021-04-09,143.74
2021-04-10,144.33
2021-04-11,145.55
2021-04-12,147.26
2021-04-13,150.26
2021-04-14,152.65
2021-04-15,154.71
2021-04-16,156.96
2021-04-17,158.91
2021-04-18,160.54
2021-04-19,162.01
2021-04-20,161.9
2021-04-21,161.4
2021-04-22,160.88
2021-04-23,160.3
2021-04-24,159.51
2021-04-25,158.65
2021-04-26,157.82
2021-04-27,157.45
2021-04-28,156.86
2021-04-29,156.77
2021-04-30,156.42
2021-05-01,156.15
2021-05-02,156.13
2021-05-03,155.81
2021-05-04,155.76
2021-05-05,155.54
2021-05-06,155.36
2021-05-07,155.3
2021-05-08,156.37
2021-05-09,156.37
2021-05-10,156.64
2021-05-11,156.68
2021-05-12,157.5
2021-05-13,158.55
2021-05-14,159.74
2021-05-15,158.98
2021-05-16,158.42
2021-05-17,158.51
2021-05-18,158.66
2021-05-19,157.81
2021-05-20,156.97
2021-05-21,156.21
2021-05-22,155.69
2021-05-23,156.06
2021-05-24,155.73
2021-05-25,155.51
2021-05-26,156.29
2021-05-27,157.57
2021-05-28,159.23
2021-05-29,161.45
2021-05-30,163.76
2021-05-31,166.23
2021-06-01,165.73
2021-06-02,164.94
2021-06-03,163.0
2021-06-04,160.2
2021-06-05,157.28
2021-06-06,153.6
2021-06-07,150.34
2021-06-08,152.33
2021-06-09,153.45
2021-06-10,154.58
2021-06-11,156.32
2021-06-12,157.93
2021-06-13,160.25
2021-06-14,162.0
2021-06-15,160.69
2021-06-16,159.98
2021-06-17,160.43
2021-06-18,160.35
2021-06-19,160.42
2021-06-20,160.12
2021-06-21,159.83
2021-06-22,160.78
2021-06-23,161.9
2021-06-24,162.02
2021-06-25,162.33
2021-06-26,162.8
2021-06-27,162.97
2021-06-28,163.04
2021-06-29,162.7
2021-06-30,162.13
2021-07-01,161.55
2021-07-02,162.24
2021-07-03,163.56
2021-07-04,165.44
2021-07-05,167.57
2021-07-06,167.76
2021-07-07,169.26
2021-07-08,171.65
2021-07-09,171.82
2021-07-10,170.59
2021-07-11,168.67
2021-07-12,166.42
2021-07-13,168.58
2021-07-14,169.09
2021-07-15,167.4
2021-07-16,166.29
2021-07-17,166.34
2021-07-18,167.0
2021-07-19,167.37
2021-07-20,164.56
2021-07-21,161.62
2021-07-22,159.69
